\baccused,(https://en.wikipedia.org/wiki/Wikipedia:Manual_of_Style/Words_to_watch#Expressions_of_doubt)
\badverse,"(clarity, most people don't know what this means)"
\badversely,"(clarity, most people don't know what this means)"
"\bahead of the curve",(cliche)
"\ball but","(almost always used wrong --- it usually can be removed)"
"\ball due respect",(cliche)
\balleged,(https://en.wikipedia.org/wiki/Wikipedia:Manual_of_Style/Words_to_watch#Expressions_of_doubt)
"\balmost definitely",(oxymoron)
"\balmost exactly","nearly/approximately (oxymoron)"
"\bare a thing","exist (cliche)"
\bargumentation,(cliche)
"\bat once","simultaneously (clarity)"
"\bat the end of the day",(cliche)
"\bbang for your buck",(cliche)
"\bbarking up the wrong tree",(cliche)
"\bbear fruit",(cliche)
"\bbreak down","are no longer valid (clarity)"
"\bbreak down barriers",(cliche)
"\bbreak things",(cliche)
"\bbuilding bridges",(cliche)
\bcaliber,(cliche)
\bcommensurate,"(clarity, use synonym)"
"\bconsidered harmful",(cliche)
"\bcookie cutter",(cliche)
\bcrawl,(cliche)
"\bcreative destruction",(cliche)
\bcute,(cliche)
"\bdefinite possibility","possibility (oxymoron)"
\bdesiderata,(cliche)
"\bdevil is in the details",(cliche)
\bdiscourse,(cliche)
\bdisrupt,(cliche)
\bdisrupting,(cliche)
\bdisrupts,(cliche)
"\bdog in the fight",(cliche)
\becosystem,(cliche)
\bepic,(cliche)
"\bextensive experience",(cliche)
\bextreme,(exaggerated)
\bextremely,(exaggerated)
"\bfood fight",(cliche)
"\bgoat rope",(cliche)
"\bgrease the skids",(cliche)
"\bground truth",(cliche)
"\bgrowth industries",(cliche)
"\bgrowth industry",(cliche)
"\bherding cats",(cliche)
"\bhockey stick growth",(cliche)
\bhodograph,(archaic)
"\bholding feet to the fire",(cliche)
"\bin a nutshell",(cliche)
\binnovation,(cliche)
\binnovative,(cliche)
"\bin these economic times",(cliche)
\birregardless,(cliche)
"\bis a thing","exists (cliche)"
"\bis over",(cliche)
bi-weekly,"(ambiguous, use ""every other week"" or ""twice a week"")"
biweekly,"(ambiguous, use ""every other week"" or ""twice a week"")"
"\bkeep the plates spinning",(cliche)
\bkinda,(cliche)
"\bkind of",(cliche)
"\bleaning forward in the saddle",(cliche)
"\blessons learned",(cliche)
"\blet a thousand flowers bloom",(cliche)
"\blongpole in the tent",(cliche)
"\blots of",(cliche)
"\blow hanging fruit",(cliche)
"\bmission critical",(cliche)
\bmodulate,(cliche)
\bmodulates,(cliche)
"\bmore than ever",(cliche)
\bmuse,(cliche)
\bmused,"considered (cliche)"
\bmusings,"thoughts (cliche)"
\bmusing,"thinking (cliche)"
\bnatch,"naturally (this is supposed to be cute or something but it it just lame)"
\bnever,(exaggerated)
"\bnot ready for prime time",(cliche)
\bnovel,"(as an adjective, i.e. this is a novel method)"
\bnovelty,"(as an adjective, i.e. this is a novel method)"
\bobviously,"apparently (not always obvious)"
"\bof course","not always obvious (cliche)"
\bokays,(cliche)
"\bon a weekly basis",(cliche)
"\bon steroids",(cliche)
"\bopen a can of worms",(cliche)
"\bout of steam",(cliche)
"\boutside of the box",(cliche)
"\bpain point",(cliche)
"\bpain points",(cliche)
"\bparadigm shift",(cliche)
\bperfunctory,(clarity)
\bpontificate,(cliche)
\bpontificating,(cliche)
\bpontification,(cliche)
\bprose,(cliche)
\bpurported,(https://en.wikipedia.org/wiki/Wikipedia:Manual_of_Style/Words_to_watch#Expressions_of_doubt)
"\bpushing the envelope",(cliche)
"\bquantum leap",(cliche)
\breally,(exaggerated)
"\bred herring",(cliche)
"\breinvent the wheel",(cliche)
\bresults-oriented,(cliche)
"\brun it up the flag pole",(cliche)
"\bsame sheet of music",(cliche)
\bseamless,(cliche)
"\bself licking ice cream cone",(cliche)
"\bsense of urgency",(cliche)
\bshowstopper,(cliche)
"\bslippery slope",(cliche)
\bso-called,(https://en.wikipedia.org/wiki/Wikipedia:Manual_of_Style/Words_to_watch#Expressions_of_doubt)
"\bsooner rather than later",(cliche)
"\bstove pipe",(cliche)
"\bstraw man",(cliche)
\bstrawman,(cliche)
\bsuperfluous,(clarity)
\bsupposed,(https://en.wikipedia.org/wiki/Wikipedia:Manual_of_Style/Words_to_watch#Expressions_of_doubt)
\bsynergies,(cliche)
\bsynergism,(cliche)
\bsynergistic,(cliche)
\bsynergize,(cliche)
\bsynergy,(cliche)
"\btake it to the next level",(cliche)
"\btalk off line",(cliche)
"\bteach how to fish",(cliche)
"\bthe best",(exaggerated)
"\bthe cart before the horse",(cliche)
"\bthe fact is",(cliche)
"\bthe fact of the matter is",(cliche)
"\bthe long and short of it is",(cliche)
"\bthinking out of the box",(cliche)
"\bthinking outside of the box",(cliche)
"\bthinking outside the box",(cliche)
"\bthink outside the box",(cliche)
"\bto be honest with you",(cliche)
"\btouch base",(cliche)
\bunicorn,(cliche)
\bunimaginable,(exaggerated)
\bunimaginably,(exaggerated)
"\bunreasonable effectiveness",(cliche)
\butilize,"use (clarity)"
\bvery,(exaggerated)
"\bwith all due respect",(cliche)
\bwonk,(cliche)
\bwonkish,(cliche)
"\bwork in a vacuum",(cliche)
\bworst,(exaggerated)
"\bzero tolerance",(cliche)
