\bclam,"claim (possible atomic typo)",shatz_watch_2007
\bdiscreet,"discrete (possible atomic typo)",shatz_watch_2007
\bfist,"first (possible atomic typo)",shatz_watch_2007
"\binappropriate method",(offensive),
"\binappropriate methods",(offensive),
\binappropriate,(offensive),http://www.paulgraham.com/say.html
\binequalities,"(I recall someone misinterpreting me saying ""I like inequalities"" to be about economic, etc. inequalities rather than bounds. But this term can be okay.)",
\binequality,"(I recall someone misinterpreting me saying ""I like inequalities"" to be about economic, etc. inequalities rather than bounds. But this term can be okay.)",
\bjust,"(could be underestimating the complexity)",https://news.ycombinator.com/item?id=16459265
"\bmore then","(possible atomic typo; could be ""more than"")",
\bpoor,"(e.g., poor job)",
\bpubic,"public (possible atomic typo)","shatz_watch_2007 https://reword.ca/the-difference-one-missed-letter-makes/"
\bsinger,"signer (possible atomic typo)",shatz_watch_2007
\bstatue,"statute (possible atomic typo)",shatz_watch_2007
\btrail,"trial (possible atomic typo)",shatz_watch_2007
\buntied,"united (possible atomic typo)",shatz_watch_2007
